source_index,recommended_index,similarity
0,1455,0.9989
0,1482,0.9966
0,2561,0.9956
0,4658,0.9924
0,4484,0.9912
1,2424,0.9999
1,797,0.9998
1,1611,0.9998
1,867,0.9996
1,2546,0.9994
2,1978,0.998
2,973,0.9964
2,1540,0.9954
2,402,0.9949
2,1874,0.9945
3,53,0.9965
3,2531,0.9951
3,1375,0.9934
3,2887,0.9933
3,494,0.9918
4,2442,0.9792
4,923,0.976
4,566,0.9756
4,3058,0.9714
4,1889,0.9644
5,1449,0.9949
5,1433,0.9939
5,4885,0.9916
5,2266,0.9914
5,1610,0.9912
6,1197,0.9965
6,750,0.9959
6,2202,0.9946
6,4299,0.992
6,267,0.9916
7,2342,0.9988
7,2034,0.9983
7,1651,0.9978
7,1181,0.9969
7,1452,0.9965
8,787,0.9941
8,62,0.9936
8,1780,0.9868
8,70,0.9865
8,709,0.9853
9,1142,0.9953
9,1207,0.995
9,3688,0.9935
9,3774,0.9933
9,2091,0.9928
10,2179,0.9973
10,1567,0.9962
10,919,0.9941
10,2162,0.993
10,4312,0.9914
11,3282,0.9983
11,4039,0.9975
11,1891,0.9975
11,2292,0.9958
11,3984,0.9957
12,1604,0.999
12,213,0.999
12,1977,0.9987
12,1153,0.9987
12,1409,0.9984
13,1515,1.0
13,1144,0.9999
13,2251,0.9998
13,78,0.9994
13,948,0.9993
14,3780,0.9909
14,1402,0.9859
14,4870,0.9848
14,1384,0.982
14,1092,0.9812
15,2070,0.9985
15,1585,0.9965
15,1274,0.9957
15,1268,0.9957
15,4243,0.9949
16,1850,0.999
16,1538,0.9986
16,1312,0.9984
16,2413,0.9982
16,405,0.9978
17,2247,0.999
17,1011,0.9983
17,1800,0.9958
17,2208,0.995
17,4090,0.9948
18,212,0.9999
18,453,0.9997
18,1159,0.9995
18,719,0.9992
18,634,0.9992
19,2149,0.9857
19,255,0.9856
19,1900,0.9837
19,35,0.976
19,2049,0.9657
20,918,0.9985
20,2076,0.9979
20,1952,0.9979
20,927,0.9975
20,764,0.997
21,1145,0.994
21,6954,0.9931
21,2831,0.9899
21,4936,0.9853
21,2676,0.9755
22,4136,0.9909
22,3852,0.9857
22,7249,0.985
22,2729,0.982
22,6389,0.9799
23,3899,0.996
23,3188,0.9953
23,863,0.9949
23,4907,0.9947
23,2781,0.9942
24,3302,0.9895
24,2100,0.9843
24,3617,0.9839
24,3303,0.9764
24,4786,0.9761
25,559,0.9977
25,692,0.9956
25,4186,0.9955
25,183,0.9938
25,3751,0.9928
26,967,0.9974
26,1037,0.9949
26,1944,0.9938
26,4912,0.9936
26,3439,0.9871
27,3483,0.9848
27,2067,0.9847
27,911,0.9843
27,5885,0.9835
27,6285,0.9833
28,1730,0.9989
28,2261,0.9984
28,538,0.9983
